"Sample_ID";"Sum";"bin_error_Tab_Coral";"bin_error_Rug_Coral";"bin_error_Strom";"bin_error_Spo";"bin_error_Bry";"bin_error_Mic";"bin_error_Ech";"bin_error_Brach";"bin_error_Problem";"bin_error_Moll";"bin_error_Tri";"bin_error_Ost";"bin_error_Alg";"bin_error_Micrite";"bin_error_Spar";"bin_error_Pyr";"bin_error_Org";"bin_error_non_Identified"
"B1";571;0,0121436335208698;0;0,00302538488528092;0;0,007112547514841;0,00174977926363221;0,0093369513847079;0,0108037792246008;0;0,00669312387556524;0,00491863990103554;0,00302538488528092;0,00426722641507285;0,0208893751355078;0,0165041302686277;0,00174977926363221;0;0,00647198426990856
"B4";377;0,00939745690225287;0,00527682129092219;0;0;0,0158610860322299;0,00939745690225287;0,0183161631953319;0,013050531730278;0;0,00589175184928909;0,00589175184928909;0;0,00264899962706092;0,0210577125416014;0,023654745213678;0;0;0,0115434886583632
"B7";673;0,00889725554830369;0;0,00530543560448421;0;0,00889725554830369;0,00331017258164789;0,0133024879662117;0,00889725554830369;0,00256788418379299;0,00654559291594484;0,00331017258164789;0,00296292363424487;0;0,0151730087636352;0,0184117394868119;0,00391078137549883;0;0,00942718231655492
"B10";453;0,0152242541286011;0;0,00655639992662562;0;0,0127078469264255;0,00723202925426392;0,013771424108004;0,00965187398212005;0,00381083005065189;0,00220506763230083;0,00381083005065189;0,00381083005065189;0;0,0208959549186011;0,0202081817583779;0;0;0,0127078469264255
"B13";461;0,00925841293915542;0;0;0;0,0146091728773275;0,00569541740831749;0,0194003130357467;0,0138229753677226;0,00374491511645168;0;0,00216684341103156;0,00216684341103156;0;0,0228085358751223;0,0124966707418018;0;0;0,0071080620671573
"B16";454;0,0195878891816193;0;0;0;0,0131514177315851;0,0223225740122998;0,00811346891875374;0,00617488172676364;0,00438583686079277;0;0;0;0;0,0199192437907576;0,007216297453847;0;0;0,00752866509482876
"B19";393;0,00794347551886697;0;0;0;0,0159056062153187;0,0246801415731142;0,012975874077407;0,0145511237061139;0;0;0;0;0;0,0215963873898268;0,00832030407699256;0;0;0,00902141473733145
"B22";456;0,0153701018432119;0;0,0228675236033019;0;0,00614804073728476;0,0205655897048966;0,00575738042025046;0,00436668585230343;0,00378584182043468;0;0;0;0;0,016371851359629;0;0;0;0,00835252261639816
"B25";887;0,00446872509842355;0,00816599473632616;0;0,00498470104491176;0,0102864683874309;0,0153181114354718;0,00251381819301364;0,00317434409007676;0,00432930758448722;0,00112676002612716;0;0,00251381819301364;0;0,00387890568377657;0,00387890568377657;0;0;0,00486128668285548
"B28";1045;0,0121461120725547;0;0;0;0,0101757904814095;0,0152871199429123;0,00233727042288185;0,00191020916637018;0,00778456263105469;0;0;0;0;0,00165508404145398;0,00463387224529998;0;0;0,00252332541006169
"B31";576;0,00346014489094369;0;0,0204064867843173;0;0,00618859623032019;0,00487624408169928;0,00880712842348222;0,00386517650676868;0,00423037948993445;0;0;0,00173460341555003;0;0,014257003216716;0,0132716014335249;0;0;0,00798605869212534
