"Sample_ID";"Height_cm";"Delta13C";"Sum";"Micrite";"Spar";"biogenic";"Others";"Non_Identified"
"A1";0;0;641;570;3;44;0;24
"A4";0;0;824;762;7;16;0;39
"A7";0;0;656;552;10;49;10;35
"A10";0;0;1132;995;2;78;2;55
"A14";0;0;389;329;3;40;0;17
"A17";0;0;874;658;8;179;0;29
"A20";0;0;703;516;13;125;3;46
"A23";0;0;725;675;4;37;1;8
"A26";0;0;937;827;10;84;0;16
"A29";0;0;1121;846;55;204;3;13
"A32";0;0;839;461;102;211;2;63
"A35";0;0;416;142;69;142;12;51
"A38";0;0;646;125;263;147;3;108
"A41";0;0;874;380;23;413;1;57
