"Sample_ID";"Height_cm";"Delta13C";"Sum";"Corals";"Sponges";"Bryozoans";"Microbes";"Microproblematica";"Green_Algae";"Echinoderms";"Brachiopods";"Molluscs";"Trilobites";"Ostracods";"Total"
"A1";200;2,09;44;0;0;0,0681818181818182;0;0;0;0,704545454545455;0,0909090909090909;0,136363636363636;0;0;1
"A4";290;1,89;16;0;0;0,25;0;0;0;0,6875;0;0,0625;0;0;1
"A7";380;1,9;49;0;0;0,122448979591837;0;0;0;0,63265306122449;0,183673469387755;0,0408163265306122;0,0204081632653061;0;1
"A10";470;2,87;78;0;0;0,166666666666667;0;0;0;0,461538461538462;0,141025641025641;0,0512820512820513;0,115384615384615;0,0641025641025641;1
"A14";590;2,71;40;0;0;0,025;0;0;0;0,625;0,075;0,15;0,075;0,05;1
"A17";680;3,71;179;0,29608938547486;0;0,0558659217877095;0,11731843575419;0;0,0558659217877095;0,162011173184358;0,134078212290503;0,128491620111732;0,0446927374301676;0,00558659217877095;1
"A20";760;3,5;125;0;0;0,304;0;0;0;0,152;0,44;0,048;0,04;0,016;1
"A23";850;4,52;37;0;0;0,027027027027027;0;0;0;0,027027027027027;0;0,945945945945946;0;0;1
"A26";940;5,06;84;0,607142857142857;0;0,0476190476190476;0;0;0;0,130952380952381;0,0357142857142857;0,166666666666667;0,0119047619047619;0;1
"A29";1030;4,51;204;0,455882352941176;0,0147058823529412;0,0441176470588235;0;0,00490196078431373;0,00490196078431373;0,156862745098039;0,156862745098039;0,102941176470588;0,0490196078431373;0,00980392156862745;1
"A32";1120;5,06;211;0,028436018957346;0;0,450236966824645;0;0,004739336492891;0,014218009478673;0,322274881516588;0,0995260663507109;0,018957345971564;0,037914691943128;0,023696682464455;1
"A35";1210;4,98;142;0;0;0,323943661971831;0;0;0;0,584507042253521;0,0845070422535211;0;0;0,00704225352112676;1
"A38";1300;4,72;147;0;0;0,462585034013605;0;0;0,0136054421768707;0,394557823129252;0,0748299319727891;0,0204081632653061;0,0136054421768707;0,0204081632653061;1
"A41";1390;3,99;413;0,501210653753027;0,106537530266344;0,0750605326876513;0,036319612590799;0;0;0,23728813559322;0,0314769975786925;0,00968523002421308;0;0,00242130750605327;1
