"Sample_ID","Height_cm","Delta13C","Prop_Tab_Coral","Prop_Rug_Coral","Prop_Strom","Prop_Spo","Prop_Bry","Prop_Mic","Prop_Ech","Prop_Brach","Prop_Problem","Prop_Moll","Prop_Tri","Prop_Ost","Prop_Alg","Prop_Tas","Prop_Micrite","Prop_Spar","Prop_Pyr","Prop_Org","Prop_nonId"
"A1",200,2.09,0,0,0,0,0.0046801872074883,0,0.0483619344773791,0.0062402496099844,0,0.0093603744149766,0,0,0,0,0.889235569422777,0.0046801872074883,0,0,0.0374414976599064
"A4",290,1.89,0,0,0,0,0.00485436893203883,0,0.0133495145631068,0,0,0.00121359223300971,0,0,0,0,0.924757281553398,0.00849514563106796,0,0,0.0473300970873786
"A7",380,1.9,0,0,0,0,0.00914634146341463,0,0.0472560975609756,0.013719512195122,0,0.00304878048780488,0.00152439024390244,0,0,0,0.841463414634146,0.0152439024390244,0.0152439024390244,0,0.0533536585365854
"A10",470,2.87,0,0,0,0,0.0114840989399293,0,0.0318021201413428,0.00971731448763251,0,0.00353356890459364,0.00795053003533569,0.00441696113074205,0,0,0.878975265017668,0.00176678445229682,0,0.00176678445229682,0.0485865724381625
"A14",590,2.71,0,0,0,0,0.0025706940874036,0,0.06426735218509,0.0077120822622108,0,0.0154241645244216,0.0077120822622108,0.0051413881748072,0,0,0.845758354755784,0.0077120822622108,0,0,0.0437017994858612
"A17",680,3.71,0.0606407322654462,0,0,0,0.011441647597254,0.0240274599542334,0.0331807780320366,0.0274599542334096,0,0.0263157894736842,0.0091533180778032,0.0011441647597254,0.011441647597254,0,0.752860411899314,0.0091533180778032,0,0,0.0331807780320366
"A20",760,3.5,0,0,0,0,0.0540540540540541,0,0.027027027027027,0.0782361308677098,0,0.0085348506401138,0.00711237553342817,0.00284495021337127,0,0,0.733997155049787,0.0184921763869132,0,0.0042674253200569,0.0654338549075391
"A23",850,4.52,0,0,0,0,0.00137931034482759,0,0.00137931034482759,0,0,0.0482758620689655,0,0,0,0,0.931034482758621,0.00551724137931034,0.00137931034482759,0,0.0110344827586207
"A26",940,5.06,0.0544290288153682,0,0,0,0.00426894343649947,0,0.0117395944503735,0.0032017075773746,0,0.0149413020277481,0.00106723585912487,0,0,0,0.882604055496265,0.0106723585912487,0,0,0.0170757737459979
"A29",1030,4.51,0.0187332738626227,0.064228367528992,0.00267618198037467,0,0.008028545941124,0,0.0285459411239964,0.0285459411239964,0.000892060660124889,0.0187332738626227,0.00892060660124889,0.00178412132024978,0.000892060660124889,0,0.754683318465656,0.0490633363068689,0.000892060660124889,0.00178412132024978,0.0115967885816235
"A32",1120,5.06,0.00715137067938021,0,0,0,0.113230035756853,0,0.0810488676996424,0.0250297973778308,0.00119189511323004,0.00476758045292014,0.00953516090584029,0.00595947556615018,0.00357568533969011,0.00119189511323004,0.549463647199047,0.121573301549464,0,0.00238379022646007,0.0738974970202622
"A35",1210,4.98,0,0,0,0,0.110576923076923,0,0.199519230769231,0.0288461538461538,0,0,0,0.00240384615384615,0,0,0.341346153846154,0.165865384615385,0.0288461538461538,0,0.122596153846154
"A38",1300,4.72,0,0,0,0,0.105263157894737,0,0.0897832817337461,0.0170278637770898,0,0.00464396284829721,0.00309597523219814,0.00464396284829721,0.00309597523219814,0,0.193498452012384,0.407120743034056,0.00464396284829721,0,0.1671826625387
"A41",1390,3.99,0.0549199084668192,0.181922196796339,0.0503432494279176,0,0.0354691075514874,0.017162471395881,0.112128146453089,0.0148741418764302,0,0.0045766590389016,0,0.0011441647597254,0,0,0.434782608695652,0.0263157894736842,0.0011441647597254,0,0.0652173913043478
