"Sample_ID","Height_cm","Delta13C","Prop_Tab_Coral","Prop_Rug_Coral","Prop_Strom","Prop_Spo","Prop_Bry","Prop_Mic","Prop_Ech","Prop_Brach","Prop_Problem","Prop_Moll","Prop_Tri","Prop_Ost","Prop_Alg","Prop_Micrite","Prop_Spar","Prop_Pyr","Prop_Org","Prop_nonId"
"B1",500,3.56,0.0928196147110333,0,0.00525394045534151,0,0.0297723292469352,0.00175131348511384,0.0525394045534151,0.0718038528896672,0,0.0262697022767075,0.0140105078809107,0.00525394045534151,0.010507880910683,0.471103327495622,0.192644483362522,0.00175131348511384,0,0.0245183887915937
"B4",590,4.09,0.0344827586206897,0.0106100795755968,0,0,0.106100795755968,0.0344827586206897,0.148541114058355,0.0689655172413793,0,0.013262599469496,0.013262599469496,0,0.0026525198938992,0.212201591511936,0.302387267904509,0,0,0.0530503978779841
"B7",680,4.17,0.0564635958395245,0,0.0193164933135215,0,0.0564635958395245,0.00742942050520059,0.138187221396731,0.0564635958395245,0.00445765230312036,0.0297176820208024,0.00742942050520059,0.00594353640416048,0,0.191679049034175,0.352154531946508,0.0104011887072808,0,0.0638930163447251
"B10",770,4.62,0.119205298013245,0,0.0198675496688742,0,0.0794701986754967,0.0242825607064018,0.0949227373068433,0.0441501103752759,0.00662251655629139,0.0022075055187638,0.00662251655629139,0.00662251655629139,0,0.271523178807947,0.245033112582781,0,0,0.0794701986754967
"B13",860,4.63,0.0412147505422994,0,0,0,0.110629067245119,0.0151843817787419,0.223427331887202,0.0976138828633406,0.00650759219088937,0,0.00216919739696312,0.00216919739696312,0,0.399132321041215,0.0780911062906725,0,0,0.0238611713665944
"B16",950,4.88,0.224669603524229,0,0,0,0.0859030837004405,0.345814977973568,0.0308370044052863,0.0176211453744493,0.00881057268722467,0,0,0,0,0.23568281938326,0.0242290748898678,0,0,0.026431718061674
"B19",1040,4.83,0.0254452926208651,0,0,0,0.111959287531807,0.396946564885496,0.0712468193384224,0.0916030534351145,0,0,0,0,0,0.241730279898219,0.0279898218829517,0,0,0.0330788804071247
"B22",1130,4.86,0.12280701754386,0,0.392543859649123,0,0.0175438596491228,0.260964912280702,0.0153508771929825,0.0087719298245614,0.00657894736842105,0,0,0,0,0.142543859649123,0,0,0,0.0328947368421053
"B25",1220,5.34,0.0180383314543405,0.0631341600901917,0,0.0225479143179256,0.104847801578354,0.704622322435175,0.0056369785794814,0.00901916572717024,0.0169109357384442,0.00112739571589628,0,0.0056369785794814,0,0.0135287485907554,0.0135287485907554,0,0,0.0214205186020293
"B28",1310,5.18,0.190430622009569,0,0,0,0.123444976076555,0.576076555023923,0.00574162679425837,0.00382775119617225,0.0679425837320574,0,0,0,0,0.00287081339712919,0.0229665071770335,0,0,0.00669856459330144
"B31",1400,5.5,0.00694444444444444,0,0.600694444444444,0,0.0225694444444444,0.0138888888888889,0.046875,0.00868055555555556,0.0104166666666667,0,0,0.00173611111111111,0,0.135416666666667,0.114583333333333,0,0,0.0381944444444444
