Sample_ID;Height [cm];?13C [‰ V-PDB] ;Sum;Micrite;Sparite;Biogenic;Other;Non_Identified
A1;200;2.09;641;0.889;0.005;0.069;0.000;0.037
A4;290;1.89;824;0.925;0.008;0.019;0.000;0.047
A7;380;1.90;656;0.841;0.015;0.075;0.015;0.053
A10;470;2.87;1132;0.879;0.002;0.069;0.002;0.049
A14;590;2.71;389;0.846;0.008;0.103;0.000;0.044
A17;680;3.71;874;0.753;0.009;0.205;0.000;0.033
A20;760;3.50;703;0.734;0.018;0.178;0.004;0.065
A23;850;4.52;725;0.931;0.006;0.051;0.001;0.011
A26;940;5.06;937;0.883;0.011;0.090;0.000;0.017
A29;1030;4.51;1121;0.755;0.049;0.182;0.003;0.012
A32;1120;5.06;839;0.549;0.122;0.251;0.002;0.075
A35;1210;4.98;416;0.341;0.166;0.341;0.029;0.123
A38;1300;4.72;646;0.193;0.407;0.228;0.005;0.167
A41;1390;3.99;874;0.435;0.026;0.473;0.001;0.065
