"Sample_ID";"Height_cm";"Delta13C";"Sum";"Micrite";"Sparite";"Biogenic";"Other";"Non_Identified";"Total"
"B1";500;3,56;571;0,471103327495622;0,192644483362522;0,309982486865149;0,00175131348511384;0,0245183887915937;1
"B4";590;4,09;377;0,212201591511936;0,302387267904509;0,43236074270557;0;0,0530503978779841;1
"B7";680;4,17;673;0,191679049034175;0,352154531946508;0,381872213967311;0,0104011887072808;0,0638930163447251;1
"B10";770;4,62;453;0,271523178807947;0,245033112582781;0,403973509933775;0;0,0794701986754967;1
"B13";860;4,63;461;0,399132321041215;0,0780911062906725;0,498915401301518;0;0,0238611713665944;1
"B16";950;4,88;454;0,23568281938326;0,0242290748898678;0,713656387665198;0;0,026431718061674;1
"B19";1040;4,83;393;0,241730279898219;0,0279898218829517;0,697201017811705;0;0,0330788804071247;1
"B22";1130;4,86;456;0,142543859649123;0;0,824561403508772;0;0,0328947368421053;1
"B25";1220;5,34;887;0,0135287485907554;0,0135287485907554;0,95152198421646;0;0,0214205186020293;1
"B28";1310;5,18;1045;0,00287081339712919;0,0229665071770335;0,967464114832536;0;0,00669856459330144;1
"B31";1400;5,5;576;0,135416666666667;0,114583333333333;0,711805555555556;0;0,0381944444444444;1
